"","H","C","A","N"
"115",0.572401588873747,0.342211835837126,3.73,1e+06
"116",0.55531044287753,0.338544344694355,3.7,1e+06
"117",0.51135052745232,0.334042845850638,3.68,1e+06
"118",0.492702616022892,0.340846402472747,3.67,1e+06
"119",0.345996315274643,0.283649647051552,3.83,1e+06
"120",0.739005736561853,0.291773179855289,4,1e+06
"121",0.572401588873747,0.342211835837126,3.73,1e+06
"122",0.55531044287753,0.338544344694355,3.7,1e+06
"123",0.51135052745232,0.334042845850638,3.68,1e+06
"124",0.492702616022892,0.340846402472747,3.67,1e+06
"125",0.345996315274643,0.283649647051552,3.83,1e+06
"126",0.739005736561853,0.291773179855289,4,1e+06
"127",0.572401588873747,0.342211835837126,3.73,1e+06
"128",0.55531044287753,0.338544344694355,3.7,1e+06
"129",0.51135052745232,0.334042845850638,3.68,1e+06
"130",0.492702616022892,0.340846402472747,3.67,1e+06
"131",0.345996315274643,0.283649647051552,3.83,1e+06
"132",0.739005736561853,0.291773179855289,4,1e+06
"133",0.572401588873747,0.342211835837126,3.73,1e+06
"134",0.55531044287753,0.338544344694355,3.7,1e+06
"135",0.51135052745232,0.334042845850638,3.68,1e+06
"136",0.492702616022892,0.340846402472747,3.67,1e+06
"137",0.345996315274643,0.283649647051552,3.83,1e+06
"138",0.739005736561853,0.291773179855289,4,1e+06
"139",0.572401588873747,0.342211835837126,3.73,1e+06
"140",0.55531044287753,0.338544344694355,3.7,1e+06
"141",0.51135052745232,0.334042845850638,3.68,1e+06
"142",0.492702616022892,0.340846402472747,3.67,1e+06
"143",0.345996315274643,0.283649647051552,3.83,1e+06
"144",0.739005736561853,0.291773179855289,4,1e+06
"145",0.572401588873747,0.342211835837126,3.73,1e+06
"146",0.55531044287753,0.338544344694355,3.7,1e+06
"147",0.51135052745232,0.334042845850638,3.68,1e+06
"148",0.492702616022892,0.340846402472747,3.67,1e+06
"149",0.345996315274643,0.283649647051552,3.83,1e+06
"150",0.739005736561853,0.291773179855289,4,1e+06
"151",0.572401588873747,0.342211835837126,3.73,1e+06
"152",0.55531044287753,0.338544344694355,3.7,1e+06
"153",0.51135052745232,0.334042845850638,3.68,1e+06
"154",0.492702616022892,0.340846402472747,3.67,1e+06
"155",0.345996315274643,0.283649647051552,3.83,1e+06
