"","H","C","D","A"
"323",0.247506680451571,0.227712372926832,5,3.83
"324",0.678461730502084,0.399241321530905,5,4
"325",0.498909806781534,0.390781179392451,5,3.73
"326",0.495018140098337,0.388047454618287,5,3.7
"327",0.458520408611439,0.367604590256379,5,3.68
"328",0.466118129938849,0.382617200942053,5,3.67
"329",0.247506680451571,0.227712372926832,5,3.83
"330",0.678461730502084,0.399241321530905,5,4
"331",0.498909806781534,0.390781179392451,5,3.73
"332",0.495018140098337,0.388047454618287,5,3.7
"333",0.458520408611439,0.367604590256379,5,3.68
"334",0.466118129938849,0.382617200942053,5,3.67
"335",0.247506680451571,0.227712372926832,5,3.83
"336",0.678461730502084,0.399241321530905,5,4
"337",0.498909806781534,0.390781179392451,5,3.73
"338",0.495018140098337,0.388047454618287,5,3.7
"339",0.458520408611439,0.367604590256379,5,3.68
"340",0.466118129938849,0.382617200942053,5,3.67
"341",0.247506680451571,0.227712372926832,5,3.83
"342",0.678461730502084,0.399241321530905,5,4
"343",0.498909806781534,0.390781179392451,5,3.73
"344",0.495018140098337,0.388047454618287,5,3.7
"345",0.458520408611439,0.367604590256379,5,3.68
"346",0.466118129938849,0.382617200942053,5,3.67
"347",0.247506680451571,0.227712372926832,5,3.83
"348",0.678461730502084,0.399241321530905,5,4
"349",0.498909806781534,0.390781179392451,5,3.73
"350",0.495018140098337,0.388047454618287,5,3.7
"351",0.458520408611439,0.367604590256379,5,3.68
"352",0.466118129938849,0.382617200942053,5,3.67
"353",0.247506680451571,0.227712372926832,5,3.83
"354",0.678461730502084,0.399241321530905,5,4
"355",0.498909806781534,0.390781179392451,5,3.73
"356",0.495018140098337,0.388047454618287,5,3.7
"357",0.458520408611439,0.367604590256379,5,3.68
"358",0.466118129938849,0.382617200942053,5,3.67
"359",0.247506680451571,0.227712372926832,5,3.83
"360",0.678461730502084,0.399241321530905,5,4
"361",0.498909806781534,0.390781179392451,5,3.73
"362",0.495018140098337,0.388047454618287,5,3.7
"363",0.458520408611439,0.367604590256379,5,3.68
"364",0.466118129938849,0.382617200942053,5,3.67
"365",0.247506680451571,0.227712372926832,5,3.83
"366",0.678461730502084,0.399241321530905,5,4
"367",0.498909806781534,0.390781179392451,5,3.73
"368",0.495018140098337,0.388047454618287,5,3.7
"369",0.458520408611439,0.367604590256379,5,3.68
"370",0.466118129938849,0.382617200942053,5,3.67
"371",0.247506680451571,0.227712372926832,5,3.83
"372",0.678461730502084,0.399241321530905,5,4
"373",0.498909806781534,0.390781179392451,5,3.73
"374",0.495018140098337,0.388047454618287,5,3.7
"375",0.458520408611439,0.367604590256379,5,3.68
"376",0.466118129938849,0.382617200942053,5,3.67
"377",0.247506680451571,0.227712372926832,5,3.83
"378",0.678461730502084,0.399241321530905,5,4
"379",0.498909806781534,0.390781179392451,5,3.73
"380",0.495018140098337,0.388047454618287,5,3.7
"381",0.458520408611439,0.367604590256379,5,3.68
"382",0.466118129938849,0.382617200942053,5,3.67
"383",0.247506680451571,0.227712372926832,5,3.83
"384",0.678461730502084,0.399241321530905,5,4
"385",0.498909806781534,0.390781179392451,5,3.73
"386",0.495018140098337,0.388047454618287,5,3.7
"387",0.458520408611439,0.367604590256379,5,3.68
"388",0.466118129938849,0.382617200942053,5,3.67
"389",0.247506680451571,0.227712372926832,5,3.83
"390",0.678461730502084,0.399241321530905,5,4
"391",0.498909806781534,0.390781179392451,5,3.73
"392",0.495018140098337,0.388047454618287,5,3.7
"393",0.458520408611439,0.367604590256379,5,3.68
"394",0.466118129938849,0.382617200942053,5,3.67
"395",0.247506680451571,0.227712372926832,5,3.83
"396",0.678461730502084,0.399241321530905,5,4
"397",0.498909806781534,0.390781179392451,5,3.73
"398",0.495018140098337,0.388047454618287,5,3.7
"399",0.458520408611439,0.367604590256379,5,3.68
"400",0.466118129938849,0.382617200942053,5,3.67
"401",0.247506680451571,0.227712372926832,5,3.83
"402",0.678461730502084,0.399241321530905,5,4
"403",0.498909806781534,0.390781179392451,5,3.73
"404",0.495018140098337,0.388047454618287,5,3.7
"405",0.458520408611439,0.367604590256379,5,3.68
"406",0.466118129938849,0.382617200942053,5,3.67
"407",0.247506680451571,0.227712372926832,5,3.83
"408",0.678461730502084,0.399241321530905,5,4
"409",0.498909806781534,0.390781179392451,5,3.73
"410",0.495018140098337,0.388047454618287,5,3.7
"411",0.458520408611439,0.367604590256379,5,3.68
"412",0.466118129938849,0.382617200942053,5,3.67
"413",0.247506680451571,0.227712372926832,5,3.83
"414",0.678461730502084,0.399241321530905,5,4
"415",0.498909806781534,0.390781179392451,5,3.73
"416",0.495018140098337,0.388047454618287,5,3.7
"417",0.458520408611439,0.367604590256379,5,3.68
"418",0.466118129938849,0.382617200942053,5,3.67
"419",0.247506680451571,0.227712372926832,5,3.83
"420",0.678461730502084,0.399241321530905,5,4
"421",0.498909806781534,0.390781179392451,5,3.73
"422",0.495018140098337,0.388047454618287,5,3.7
"423",0.458520408611439,0.367604590256379,5,3.68
"424",0.466118129938849,0.382617200942053,5,3.67
"425",0.247506680451571,0.227712372926832,5,3.83
"426",0.678461730502084,0.399241321530905,5,4
"427",0.498909806781534,0.390781179392451,5,3.73
"428",0.495018140098337,0.388047454618287,5,3.7
"429",0.458520408611439,0.367604590256379,5,3.68
"430",0.466118129938849,0.382617200942053,5,3.67
"431",0.247506680451571,0.227712372926832,5,3.83
"432",0.678461730502084,0.399241321530905,5,4
"433",0.498909806781534,0.390781179392451,5,3.73
"434",0.495018140098337,0.388047454618287,5,3.7
"435",0.458520408611439,0.367604590256379,5,3.68
"436",0.466118129938849,0.382617200942053,5,3.67
"437",0.247506680451571,0.227712372926832,5,3.83
"438",0.678461730502084,0.399241321530905,5,4
"439",0.498909806781534,0.390781179392451,5,3.73
"440",0.495018140098337,0.388047454618287,5,3.7
"441",0.458520408611439,0.367604590256379,5,3.68
"442",0.466118129938849,0.382617200942053,5,3.67
