"","H","C","D"
"159",0.99999240259448,7.50038128350975e-06,"3"
"160",0.99996965415925,3.00084579139053e-05,"3"
"161",0.999979661002274,2.00579692544572e-05,"3"
"162",0.999987724620054,1.21062423843966e-05,"3"
"163",0.999983717513974,1.60706779831008e-05,"3"
"164",0.999998711173957,1.27194342123314e-06,"3"
"165",0.999995515813844,4.42548160296486e-06,"3"
"166",0.999949472844408,4.97924305501419e-05,"3"
"167",0.999976522428377,2.31749363842451e-05,"3"
"168",0.999997790157314,2.18119875490233e-06,"3"
"169",0.999898692940459,9.98554207089528e-05,"3"
"170",0.99999555984635,4.38343601490237e-06,"3"
"171",0.999986419585213,1.34233583641677e-05,"3"
"172",0.999961567813628,3.79067919035318e-05,"3"
"173",0.999994552004817,5.37626311084546e-06,"3"
"174",0.999980427374132,1.93188180204148e-05,"3"
"175",0.999978905859697,2.08162104632778e-05,"3"
"176",0.999993498591727,6.41605485206236e-06,"3"
"177",0.999984074550263,1.57219701608447e-05,"3"
"178",0.999980893928553,1.88562997228469e-05,"3"
"179",0.999982084933182,1.7679577465929e-05,"3"
"180",0.999972673906179,2.69600447019728e-05,"3"
"181",0.999997891154989,2.08126905825178e-06,"3"
"182",0.999987596346445,1.22412526187145e-05,"3"
"183",0.999985277246398,1.45425373167266e-05,"3"
"184",0.999967152514127,3.24149980718e-05,"3"
"185",0.999992468743509,7.43155008143033e-06,"3"
"186",0.99999228607108,7.61205651369619e-06,"3"
"187",0.99995640374383,4.30450467604882e-05,"3"
"188",0.999988404057535,1.14422390842663e-05,"3"
"189",0.999973855235471,2.58335170296205e-05,"3"
"190",0.999973901739898,2.57705993282038e-05,"3"
"191",0.999991575369701,8.31308831847085e-06,"3"
"192",0.999902371694635,9.6229091648107e-05,"3"
"193",0.999971881320204,2.77123723950149e-05,"3"
"194",0.999978938420545,2.07726456650027e-05,"3"
"195",0.999994724444288,5.20495400660412e-06,"3"
"196",0.999982751877549,1.699182595492e-05,"3"
"197",0.999869188869247,0.000129167379852645,"3"
"198",0.999990475700758,9.40283932089029e-06,"3"
"199",0.999980958011083,1.88010782758658e-05,"3"
"200",0.999979302163882,2.04344638891964e-05,"3"
"201",0.999981013321562,1.87423175472448e-05,"3"
"202",0.999960764595504,3.8720168643948e-05,"3"
"203",0.999975714273576,2.39554608867933e-05,"3"
"204",0.9999902654322,9.60899512036572e-06,"3"
"205",0.999995528691938,4.41302837216062e-06,"3"
"206",0.999978764244169,2.09610681585853e-05,"3"
"207",0.999991558340627,8.32508382701227e-06,"3"
"208",0.99998909407686,1.0764538470804e-05,"3"
"209",0.999993707296764,6.21685271576372e-06,"3"
"210",0.999990557285681,9.31777121285659e-06,"3"
"211",0.999971857178618,2.77737288939987e-05,"3"
"212",0.999960231443014,3.92542963665706e-05,"3"
"213",0.999948143325799,5.12248724966057e-05,"3"
"214",0.999991401564343,8.48312085288906e-06,"3"
"215",0.999985978734263,1.38353105975223e-05,"3"
"216",0.999945921192866,5.34528352021106e-05,"3"
"217",0.99999438616741,5.54640332618585e-06,"3"
"218",0.999994921280233,5.00942943050483e-06,"3"
"219",0.999963770091751,3.57507077904123e-05,"3"
"220",0.999989703056253,1.01552528752678e-05,"3"
"221",0.999945807731646,5.34662415963941e-05,"3"
"222",0.999977955426907,2.17491421093558e-05,"3"
"223",0.999984437167388,1.53570348012734e-05,"3"
"224",0.99999633661587,3.61367833424225e-06,"3"
"225",0.999995536352691,4.40565412402326e-06,"3"
"226",0.999989444566939,1.04261932639996e-05,"3"
"227",0.99998296979859,1.68178908404936e-05,"3"
"228",0.999997009541803,2.95136363328919e-06,"3"
"229",0.999998035603928,1.93817155089731e-06,"3"
"230",0.999979662128153,2.00787976660371e-05,"3"
"231",0.999980751474337,1.89884866317014e-05,"3"
"232",0.999981273545896,1.84913545469007e-05,"3"
"233",0.999976414853159,2.33064592201173e-05,"3"
"234",0.999985733866317,1.4082733050086e-05,"3"
"235",0.999972690935416,2.69533466437718e-05,"3"
"236",0.999978608683446,2.11040757098214e-05,"3"
"237",0.999969872820165,2.9695784387602e-05,"3"
"238",0.999972259322723,2.73674942442447e-05,"3"
"239",0.99995681355723,4.2658447792716e-05,"3"
"240",0.999992619444482,7.28580629358024e-06,"3"
"241",0.999986152927522,1.36528039872888e-05,"3"
"242",0.999987933221608,1.19210924143634e-05,"3"
"243",0.999996470443444,3.48431948232646e-06,"3"
"244",0.999989866146664,9.99580700656752e-06,"3"
"245",0.999985826377523,1.39920708681735e-05,"3"
"246",0.99999250052404,7.40300835682013e-06,"3"
"247",0.999987558175816,1.22706701962935e-05,"3"
"248",0.999993128405407,6.78358192298237e-06,"3"
"249",0.999980394795854,1.93452432572574e-05,"3"
"250",0.999971567462262,2.80764452056097e-05,"3"
"251",0.999990754541558,9.12162331501785e-06,"3"
"252",0.999991000621435,8.88228635243929e-06,"3"
"253",0.999981030186462,1.87193208433512e-05,"3"
"254",0.999943512417821,5.57412669669673e-05,"3"
"255",0.999958080893242,4.14331258135158e-05,"3"
"256",0.999982712702203,1.70556875456605e-05,"3"
"257",0.999973057903908,2.65913175289909e-05,"3"
"258",0.999969316472407,3.03165072324456e-05,"3"
"259",0.999959323481401,4.01086027491731e-05,"3"
"260",0.999962134083766,3.73786526726131e-05,"3"
"261",0.999996436871012,3.51616779438054e-06,"3"
"262",0.999969862950003,2.9746055272736e-05,"3"
"263",0.999996503766592,3.44755332594469e-06,"3"
"264",0.999989241695606,1.06200571239972e-05,"3"
"265",0.99998819450792,1.16559202460059e-05,"3"
"266",0.999943917296858,5.52798207987314e-05,"3"
"267",0.999965713045444,3.37857644803106e-05,"3"
"268",0.999933579729526,6.55085632102779e-05,"3"
"269",0.999965800079338,3.37421744089749e-05,"3"
"270",0.99999463937283,5.28924004560294e-06,"3"
"271",0.999972309235906,2.73029971914377e-05,"3"
"272",0.999986310948838,1.3504801391649e-05,"3"
"273",0.999994790965098,5.13887388171645e-06,"3"
"274",0.999935511952472,6.36578801682576e-05,"3"
"275",0.999991073221556,8.81249375653063e-06,"3"
"276",0.999997225222409,2.73719713935675e-06,"3"
"277",0.999948699956452,5.06228300430544e-05,"3"
"278",0.999996639411923,3.31550132233825e-06,"3"
"279",0.999962467193554,3.70607745737266e-05,"3"
"280",0.999980496882129,1.92344549106812e-05,"3"
"281",0.999969176045346,3.04178256828952e-05,"3"
"282",0.999983972049923,1.58148757501978e-05,"3"
"283",0.999994473891614,5.44893311908041e-06,"3"
"284",0.999995461578022,4.4766824042739e-06,"3"
