"","H","C","Tau","D"
"886",0.999820869308592,0.000320134212366971,1,5
"887",0.999772961175385,0.000405286808060979,1,5
"888",0.999647794323022,0.000630061314932224,1,5
"889",0.999789734370938,0.00037733574991333,1,5
"890",0.999789490737378,0.00037630042463701,1,5
"891",0.999768326897043,0.000413547769761869,1,5
"892",0.999760436330757,0.000428661679445059,1,5
"893",0.999731973857455,0.000480446379610203,1,5
"894",0.999772139177736,0.000408759225924322,1,5
"895",0.999715690259174,0.000510315252596678,1,5
"896",0.999825854264811,0.000311611536779115,1,5
"897",0.99968031169261,0.000572617425802368,1,5
"898",0.999709324904679,0.000521983734404015,1,5
"899",0.999751629301216,0.000444220949089651,1,5
"900",0.999704610892898,0.000529319728940901,1,5
"901",0.999714671442819,0.000509821149144427,10,5
"902",0.999780803852665,0.000392985783428298,10,5
"903",0.999801928885096,0.000354542870919005,10,5
"904",0.999725739858713,0.000489852628318435,10,5
"905",0.999807832147322,0.000344388495801541,10,5
"906",0.999737262714281,0.000469474726792122,10,5
"907",0.999801439080259,0.000354662736582994,10,5
"908",0.999745125400188,0.000454633456722183,10,5
"909",0.99978232735225,0.000389807320976387,10,5
"910",0.999715390373194,0.000508204920592269,10,5
"911",0.999774713529897,0.000404170752952219,10,5
"912",0.999811314525751,0.00033758135041746,10,5
"913",0.999728065900732,0.000485718949675266,10,5
"914",0.999792048537157,0.000372770464165679,10,5
"915",0.999743474468978,0.000459152898721038,10,5
"916",0.999736030583901,0.000473131001599595,10,5
"917",0.999748674524165,0.000450068956108453,10,5
"918",0.999655739447316,0.000613387683207987,10,5
"919",0.999764826172294,0.000419516315094415,10,5
"920",0.999764194160944,0.00042369560151237,10,5
"921",0.999765144049768,0.000420823224838766,10,5
"922",0.999750374662331,0.00044702818815987,10,5
"923",0.999783783772254,0.000386690731977111,10,5
"924",0.999776189646763,0.000400483078280893,10,5
"925",0.999765933774357,0.000418463487154262,10,5
"926",0.999663010841305,0.000605469967901717,10,5
"927",0.999788515370709,0.000378776336315733,10,5
"928",0.999645894133126,0.000632582709508801,10,5
"929",0.9997892579577,0.000377372798761393,10,5
"930",0.999805272550064,0.000348796978361957,10,5
"931",0.999742210400741,0.000462650536737445,10,5
"932",0.999774534178314,0.000401963327234196,10,5
"933",0.999795734251045,0.000365771534640116,10,5
"934",0.999806352977781,0.000346239692022109,10,5
"935",0.999709168618871,0.00052063469418944,10,5
"936",0.999773289127909,0.000404423076665843,10,5
"937",0.999784503876635,0.000386427373006073,10,5
"938",0.999755568344236,0.000437543231600931,10,5
"939",0.999783146120319,0.000389687235062732,10,5
"940",0.999806472339493,0.000346530235433598,10,5
"941",0.999759018968152,0.000432085627839222,10,5
"942",0.999688097214148,0.000556192277566057,10,5
"943",0.999732617912845,0.000478775401975297,10,5
"944",0.99974572567844,0.000456124600221418,10,5
"945",0.999731239394346,0.000480507597946352,10,5
"946",0.999731548672032,0.000479744389834772,10,5
"947",0.999799107276639,0.000359364918527517,10,5
"948",0.999797479791929,0.000364217618422542,10,5
"949",0.999814359978576,0.000330824577187816,10,5
"950",0.999768078673862,0.000415444676420589,10,5
"951",0.999810813367856,0.000339230789483363,10,5
"952",0.999815123206528,0.000329574727270772,10,5
"953",0.999798170036766,0.000362209821801563,10,5
"954",0.999710990642681,0.000516745536198182,10,5
"955",0.999794709970427,0.000367780643840022,10,5
"956",0.999764186275706,0.000422035562741525,10,5
"957",0.999805969429436,0.000346649977594111,10,5
"958",0.999753803541383,0.00043990953894655,10,5
"959",0.999685056311518,0.000563698434522379,10,5
"960",0.999810302032544,0.000339429115097398,10,5
"961",0.999766481958312,0.000418543594218031,10,5
"962",0.999809964782125,0.00034018951576524,10,5
"963",0.999797344114938,0.000362698130070035,10,5
"964",0.999804976779323,0.000349279236542691,10,5
"965",0.999834527332571,0.000296459377467377,10,5
"966",0.999646698115266,0.000630401375714949,10,5
"967",0.999728488791642,0.000485441468315245,10,5
"968",0.999802900487695,0.000353150657929764,10,5
"969",0.999730045990986,0.000482423279418444,10,5
"970",0.999815990436557,0.000328444140345342,10,5
"971",0.9997721886529,0.000407933458880382,10,5
"972",0.999762259841199,0.000426193837887203,10,5
"973",0.999762975505773,0.000424334557798332,10,5
"974",0.999741744953366,0.000462618886862319,10,5
"975",0.999699021972135,0.00053869817036984,10,5
"976",0.999740544904916,0.000463533047627641,10,5
"977",0.999796571554209,0.000363900502281319,10,5
"978",0.999756608593968,0.000436322227100459,10,5
"979",0.999751275598831,0.000446556934242927,10,5
"980",0.999768624388282,0.000414440959412315,10,5
"981",0.999703898246984,0.000531087168815396,10,5
"982",0.99977798678866,0.000396375355774209,10,5
"983",0.999720207402624,0.000502200467984216,10,5
"984",0.999777194675406,0.000398057321282843,10,5
"985",0.999776807782768,0.000400381465855742,10,5
"986",0.999782033070305,0.000389962431871447,10,5
"987",0.999803577956832,0.000350973902417092,10,5
"988",0.999779453797911,0.000394277842708257,10,5
"989",0.999731443208345,0.00047999082086686,10,5
"990",0.999757877118395,0.000433184688877618,10,5
"991",0.999777149368031,0.00039855510762821,10,5
"992",0.999775338252562,0.000401084112139435,10,5
"993",0.999770627378123,0.000410167776342705,10,5
"994",0.999751945804874,0.000444581468783868,10,5
"995",0.999759860997217,0.000429729775517185,10,5
"996",0.999626462376204,0.000667321739611963,10,5
"997",0.999754909400499,0.000439092524537656,10,5
"998",0.999736224461381,0.000471807579534893,10,5
"999",0.999822325733653,0.000317898448953075,10,5
"1000",0.999663565592164,0.000601119041563415,10,5
"1001",0.999816682198485,0.000328291838605658,30,5
"1002",0.999769538605627,0.000411786322781981,30,5
"1003",0.99981680259174,0.000328549405909917,30,5
"1004",0.999803194864769,0.000351763354693931,30,5
"1005",0.999802877702444,0.000353201027922374,30,5
"1006",0.999758850787319,0.000432133363635764,30,5
"1007",0.999740518952574,0.00046384436143151,30,5
"1008",0.999742574797228,0.000460913307387392,30,5
"1009",0.999806595914961,0.000345394322638154,30,5
"1010",0.999725880326436,0.000491598885992721,30,5
"1011",0.999688635068447,0.000557592431131634,30,5
"1012",0.999701930366022,0.000532661505623816,30,5
"1013",0.999772577396365,0.000408245284501023,30,5
"1014",0.999766953808966,0.000417098631287967,30,5
"1015",0.999711876210079,0.000513087254787011,30,5
"1016",0.999797029145825,0.000362077536617448,30,5
"1017",0.999766028460687,0.000420569938899624,30,5
"1018",0.99976227605307,0.000426358149185896,30,5
"1019",0.999759704343057,0.000430582441971601,30,5
"1020",0.999732594792088,0.000477893943424808,30,5
"1021",0.999739329338972,0.000466578054884983,30,5
"1022",0.999801838763845,0.000354850190968054,30,5
"1023",0.999790470744228,0.000373925016883121,30,5
"1024",0.999803237215259,0.000351757487751275,30,5
"1025",0.999767390663355,0.000416118924304134,30,5
"1026",0.999776341777006,0.000400323846882895,30,5
"1027",0.999795853393518,0.000365948377349863,30,5
"1028",0.999765826938379,0.000418882843288091,30,5
